t,omega_true,omega_ref,tau_cmd,d_hat,d_true
0.0369,50.5172577,50,0.125602863,-0.118641537,0
0.037,50.5413677,50,0.125602863,-0.118641537,0
0.0371,50.5619195,50,0.107814183,-0.106413267,0
0.0372,50.5824709,50,0.107814183,-0.106413267,0
0.0373,50.6030219,50,0.107814183,-0.106413267,0
0.0374,50.6235725,50,0.107814183,-0.106413267,0
0.0375,50.6441226,50,0.107814183,-0.106413267,0
0.0376,50.6646724,50,0.107814183,-0.106413267,0
0.0377,50.6852217,50,0.107814183,-0.106413267,0
0.0378,50.7057707,50,0.107814183,-0.106413267,0
0.0379,50.7263192,50,0.107814183,-0.106413267,0
0.038,50.7468673,50,0.107814183,-0.106413267,0
0.0381,50.7641473,50,0.0914759215,-0.0949209921,0
0.0382,50.7814271,50,0.0914759215,-0.0949209921,0
0.0383,50.7987065,50,0.0914759215,-0.0949209921,0
0.0384,50.8159855,50,0.0914759215,-0.0949209921,0
0.0385,50.8332642,50,0.0914759215,-0.0949209921,0
0.0386,50.8505425,50,0.0914759215,-0.0949209921,0
0.0387,50.8678205,50,0.0914759215,-0.0949209921,0
0.0388,50.8850982,50,0.0914759215,-0.0949209921,0
0.0389,50.9023755,50,0.0914759215,-0.0949209921,0
0.039,50.9196525,50,0.0914759215,-0.0949209921,0
0.0391,50.9339395,50,0.0765279428,-0.0841575951,0
0.0392,50.9482263,50,0.0765279428,-0.0841575951,0
0.0393,50.9625128,50,0.0765279428,-0.0841575951,0
0.0394,50.976799,50,0.0765279428,-0.0841575951,0
0.0395,50.9910849,50,0.0765279428,-0.0841575951,0
0.0396,51.0053705,50,0.0765279428,-0.0841575951,0
0.0397,51.0196558,50,0.0765279428,-0.0841575951,0
0.0398,51.0339409,50,0.0765279428,-0.0841575951,0
0.0399,51.0482257,50,0.0765279428,-0.0841575951,0
0.04,51.0625101,50,0.0765279428,-0.0841575951,0
0.0401,51.0740702,50,0.0629073924,-0.0741115127,0
0.0402,51.0856301,50,0.0629073924,-0.0741115127,0
0.0403,51.0971898,50,0.0629073924,-0.0741115127,0
0.0404,51.1087492,50,0.0629073924,-0.0741115127,0
0.0405,51.1203084,50,0.0629073924,-0.0741115127,0
0.0406,51.1318673,50,0.0629073924,-0.0741115127,0
0.0407,51.1434261,50,0.0629073924,-0.0741115127,0
0.0408,51.1549846,50,0.0629073924,-0.0741115127,0
0.0409,51.1665428,50,0.0629073924,-0.0741115127,0
0.041,51.1781009,50,0.0629073924,-0.0741115127,0
0.0411,51.1871871,50,0.0505494957,-0.0647673709,0
0.0412,51.1962732,50,0.0505494957,-0.0647673709,0
0.0413,51.205359,50,0.0505494957,-0.0647673709,0
0.0414,51.2144447,50,0.0505494957,-0.0647673709,0
0.0415,51.2235303,50,0.0505494957,-0.0647673709,0
0.0416,51.2326156,50,0.0505494957,-0.0647673709,0
0.0417,51.2417008,50,0.0505494957,-0.0647673709,0
0.0418,51.2507857,50,0.0505494957,-0.0647673709,0
0.0419,51.2598705,50,0.0505494957,-0.0647673709,0
0.042,51.2689551,50,0.0505494957,-0.0647673709,0
0.0421,51.2758073,50,0.0393882681,-0.0561065685,0
0.0422,51.2826594,50,0.0393882681,-0.0561065685,0
0.0423,51.2895113,50,0.0393882681,-0.0561065685,0
0.0424,51.2963631,50,0.0393882681,-0.0561065685,0
0.0425,51.3032148,50,0.0393882681,-0.0561065685,0
0.0426,51.3100663,50,0.0393882681,-0.0561065685,0
0.0427,51.3169177,50,0.0393882681,-0.0561065685,0
0.0428,51.323769,50,0.0393882681,-0.0561065685,0
0.0429,51.3306201,50,0.0393882681,-0.0561065685,0
0.043,51.337471,50,0.0393882681,-0.0561065685,0
0.0431,51.3423157,50,0.0293571478,-0.048107813,0
0.0432,51.3471602,50,0.0293571478,-0.048107813,0
0.0433,51.3520046,50,0.0293571478,-0.048107813,0
0.0434,51.356849,50,0.0293571478,-0.048107813,0
0.0435,51.3616932,50,0.0293571478,-0.048107813,0
0.0436,51.3665374,50,0.0293571478,-0.048107813,0
0.0437,51.3713814,50,0.0293571478,-0.048107813,0
0.0438,51.3762254,50,0.0293571478,-0.048107813,0
0.0439,51.3810692,50,0.0293571478,-0.048107813,0
0.044,51.385913,50,0.0293571478,-0.048107813,0
0.0441,51.3889632,50,0.0203895532,-0.0407476092,0
0.0442,51.3920133,50,0.0203895532,-0.0407476092,0
0.0443,51.3950633,50,0.0203895532,-0.0407476092,0
0.0444,51.3981133,50,0.0203895532,-0.0407476092,0
0.0445,51.4011632,50,0.0203895532,-0.0407476092,0
0.0446,51.404213,50,0.0203895532,-0.0407476092,0
0.0447,51.4072628,50,0.0203895532,-0.0407476092,0
0.0448,51.4103126,50,0.0203895532,-0.0407476092,0
0.0449,51.4133623,50,0.0203895532,-0.0407476092,0
0.045,51.4164119,50,0.0203895532,-0.0407476092,0
0.0451,51.4178674,50,0.0124193719,-0.0340007035,0
